goals
23-07-2023 FK SOCHI 2 - 0 Baltika
31-07-2023 Spartak M 2 - 1 Baltika
06-08-2023 Baltika 2 - 1 Fakel Voronezh
13-08-2023 Dinamo Moscow 2 - 0 Baltika
19-08-2023 Baltika 0 - 1 Ural
27-08-2023 Krylya Samara 2 - 1 Baltika
03-09-2023 Lokomotiv M 3 - 2 Baltika
16-09-2023 Baltika 2 - 2 Rostov
23-09-2023 Baltika 1 - 0 Terek Grozny
30-09-2023 CSKA Moscow ? - ? Baltika
22-07-2023 Ural 2 - 1 CSKA Moscow
30-07-2023 Terek Grozny 2 - 3 CSKA Moscow
05-08-2023 CSKA Moscow 4 - 1 Lokomotiv M
13-08-2023 CSKA Moscow 3 - 1 FK SOCHI
19-08-2023 Dinamo Moscow 2 - 1 CSKA Moscow
25-08-2023 Gazovik Orenburg 1 - 1 CSKA Moscow
03-09-2023 CSKA Moscow 1 - 1 Zenit St Petersburg
16-09-2023 CSKA Moscow 2 - 2 Krylya Samara
24-09-2023 Rostov 3 - 3 CSKA Moscow
30-09-2023 CSKA Moscow ? - ? Baltika
21-07-2023 Dinamo Moscow 1 - 3 Krasnodar
29-07-2023 Krylya Samara 3 - 3 Dinamo Moscow
06-08-2023 Zenit St Petersburg 2 - 3 Dinamo Moscow
13-08-2023 Dinamo Moscow 2 - 0 Baltika
19-08-2023 Dinamo Moscow 2 - 1 CSKA Moscow
26-08-2023 Rubin Kazan 2 - 2 Dinamo Moscow
03-09-2023 Rostov 1 - 2 Dinamo Moscow
15-09-2023 Dinamo Moscow 1 - 1 Nizhny Novgorod
23-09-2023 Spartak M 1 - 0 Dinamo Moscow
01-10-2023 Terek Grozny ? - ? Dinamo Moscow
23-07-2023 FK SOCHI 2 - 0 Baltika
30-07-2023 Krasnodar 2 - 0 FK SOCHI
06-08-2023 FK SOCHI 1 - 2 Terek Grozny
13-08-2023 CSKA Moscow 3 - 1 FK SOCHI
19-08-2023 FK SOCHI 4 - 0 Rostov
27-08-2023 FK SOCHI 0 - 1 Lokomotiv M
03-09-2023 Gazovik Orenburg 3 - 0 FK SOCHI
16-09-2023 Spartak M 1 - 0 FK SOCHI
23-09-2023 Krylya Samara 2 - 1 FK SOCHI
01-10-2023 Fakel Voronezh ? - ? FK SOCHI
23-07-2023 Rostov 2 - 1 Fakel Voronezh
30-07-2023 Fakel Voronezh 1 - 4 Lokomotiv M
06-08-2023 Baltika 2 - 1 Fakel Voronezh
13-08-2023 Zenit St Petersburg 2 - 0 Fakel Voronezh
20-08-2023 Fakel Voronezh 2 - 0 Nizhny Novgorod
25-08-2023 Fakel Voronezh 0 - 0 Krasnodar
02-09-2023 Krylya Samara 3 - 0 Fakel Voronezh
17-09-2023 Ural 0 - 0 Fakel Voronezh
25-09-2023 Fakel Voronezh 0 - 1 Rubin Kazan
01-10-2023 Fakel Voronezh ? - ? FK SOCHI
23-07-2023 Spartak M 3 - 2 Gazovik Orenburg
30-07-2023 Rubin Kazan 1 - 1 Gazovik Orenburg
05-08-2023 Gazovik Orenburg 0 - 2 Ural
12-08-2023 Gazovik Orenburg 0 - 2 Krasnodar
20-08-2023 Terek Grozny 4 - 0 Gazovik Orenburg
25-08-2023 Gazovik Orenburg 1 - 1 CSKA Moscow
03-09-2023 Gazovik Orenburg 3 - 0 FK SOCHI
17-09-2023 Lokomotiv M 0 - 2 Gazovik Orenburg
24-09-2023 Nizhny Novgorod 3 - 1 Gazovik Orenburg
30-09-2023 Gazovik Orenburg ? - ? Zenit St Petersburg
21-07-2023 Dinamo Moscow 1 - 3 Krasnodar
30-07-2023 Krasnodar 2 - 0 FK SOCHI
04-08-2023 Krasnodar 1 - 0 Nizhny Novgorod
12-08-2023 Gazovik Orenburg 0 - 2 Krasnodar
19-08-2023 Krasnodar 1 - 1 Lokomotiv M
25-08-2023 Fakel Voronezh 0 - 0 Krasnodar
02-09-2023 Krasnodar 2 - 0 Spartak M
16-09-2023 Terek Grozny 1 - 1 Krasnodar
24-09-2023 Krasnodar 2 - 0 Ural
30-09-2023 Rubin Kazan ? - ? Krasnodar
22-07-2023 Terek Grozny 1 - 2 Krylya Samara
29-07-2023 Krylya Samara 3 - 3 Dinamo Moscow
05-08-2023 Krylya Samara 5 - 1 Rostov
12-08-2023 Lokomotiv M 1 - 1 Krylya Samara
18-08-2023 Rubin Kazan 2 - 1 Krylya Samara
27-08-2023 Krylya Samara 2 - 1 Baltika
02-09-2023 Krylya Samara 3 - 0 Fakel Voronezh
16-09-2023 CSKA Moscow 2 - 2 Krylya Samara
23-09-2023 Krylya Samara 2 - 1 FK SOCHI
01-10-2023 Krylya Samara ? - ? Spartak M
22-07-2023 Lokomotiv M 2 - 2 Rubin Kazan
30-07-2023 Fakel Voronezh 1 - 4 Lokomotiv M
05-08-2023 CSKA Moscow 4 - 1 Lokomotiv M
12-08-2023 Lokomotiv M 1 - 1 Krylya Samara
19-08-2023 Krasnodar 1 - 1 Lokomotiv M
27-08-2023 FK SOCHI 0 - 1 Lokomotiv M
03-09-2023 Lokomotiv M 3 - 2 Baltika
17-09-2023 Lokomotiv M 0 - 2 Gazovik Orenburg
24-09-2023 Zenit St Petersburg 1 - 2 Lokomotiv M
30-09-2023 Lokomotiv M ? - ? Nizhny Novgorod
22-07-2023 Nizhny Novgorod 0 - 2 Zenit St Petersburg
29-07-2023 Ural 0 - 0 Nizhny Novgorod
04-08-2023 Krasnodar 1 - 0 Nizhny Novgorod
14-08-2023 Nizhny Novgorod 2 - 0 Terek Grozny
20-08-2023 Fakel Voronezh 2 - 0 Nizhny Novgorod
26-08-2023 Nizhny Novgorod 1 - 0 Rostov
02-09-2023 Nizhny Novgorod 2 - 1 Rubin Kazan
15-09-2023 Dinamo Moscow 1 - 1 Nizhny Novgorod
24-09-2023 Nizhny Novgorod 3 - 1 Gazovik Orenburg
30-09-2023 Lokomotiv M ? - ? Nizhny Novgorod
23-07-2023 Rostov 2 - 1 Fakel Voronezh
29-07-2023 Rostov 1 - 1 Zenit St Petersburg
05-08-2023 Krylya Samara 5 - 1 Rostov
12-08-2023 Rostov 3 - 0 Rubin Kazan
19-08-2023 FK SOCHI 4 - 0 Rostov
26-08-2023 Nizhny Novgorod 1 - 0 Rostov
03-09-2023 Rostov 1 - 2 Dinamo Moscow
16-09-2023 Baltika 2 - 2 Rostov
24-09-2023 Rostov 3 - 3 CSKA Moscow
29-09-2023 Rostov ? - ? Ural
22-07-2023 Lokomotiv M 2 - 2 Rubin Kazan
30-07-2023 Rubin Kazan 1 - 1 Gazovik Orenburg
05-08-2023 Rubin Kazan 1 - 4 Spartak M
12-08-2023 Rostov 3 - 0 Rubin Kazan
18-08-2023 Rubin Kazan 2 - 1 Krylya Samara
